aX,aY,aZ,gX,gY,gZ
0.964,-0.364,3.865,304.626,3.662,-254.333
1.007,-0.067,4.000,243.774,30.823,-252.014
1.099,0.153,4.000,183.105,54.077,-252.136
1.308,0.344,4.000,124.695,60.730,-255.066
1.116,0.542,4.000,67.688,41.748,-260.803
1.575,0.613,4.000,17.395,28.381,-266.602
1.828,0.847,3.816,-29.114,-0.549,-247.925
1.591,1.040,3.534,-78.064,-48.218,-216.858
1.604,1.128,3.335,-106.750,-45.593,-195.984
1.746,1.188,3.296,-129.333,-10.315,-184.326
1.804,1.192,3.320,-160.950,23.315,-172.852
1.794,1.138,3.237,-202.209,55.969,-162.170
1.869,1.073,2.939,-248.718,90.942,-151.489
1.965,0.966,2.479,-296.021,112.976,-132.507
1.981,0.809,1.986,-337.952,114.319,-106.567
1.997,0.644,1.474,-368.713,101.379,-78.552
2.061,0.497,0.989,-389.038,85.205,-47.791
2.085,0.358,0.575,-399.719,72.571,-13.306
2.014,0.226,0.224,-400.391,64.575,20.630
1.880,0.109,-0.022,-391.907,57.739,50.598
1.713,-0.017,-0.195,-380.859,49.561,76.721
1.540,-0.139,-0.339,-372.559,40.222,100.159
1.385,-0.267,-0.487,-365.662,29.358,121.094
1.230,-0.376,-0.645,-356.140,17.822,138.611
1.057,-0.460,-0.773,-341.064,9.949,152.161
0.872,-0.528,-0.864,-321.350,8.667,160.645
0.708,-0.595,-0.942,-300.842,13.550,164.062
0.571,-0.672,-1.017,-281.921,24.170,163.086
0.464,-0.773,-1.088,-264.221,38.513,158.142
0.384,-0.874,-1.185,-247.742,54.688,150.452
0.295,-0.946,-1.375,-231.384,70.740,140.442
0.235,-0.962,-1.621,-209.473,87.036,128.479
0.198,-0.938,-1.885,-176.086,104.126,114.929
0.211,-0.913,-2.103,-126.526,119.263,100.586
0.258,-0.945,-2.237,-61.279,132.385,86.548
0.315,-1.035,-2.271,12.512,144.165,74.585
0.392,-1.151,-2.230,87.280,156.860,67.322
0.475,-1.268,-2.083,164.368,170.410,64.819
0.516,-1.402,-1.825,239.441,184.998,64.941
0.535,-1.520,-1.474,307.312,201.233,66.040
0.524,-1.646,-1.094,364.014,214.905,68.359
0.513,-1.765,-0.756,407.837,225.830,69.519
0.535,-1.853,-0.446,441.406,234.314,66.956
0.591,-1.879,-0.136,469.604,239.990,62.683
0.738,-1.917,0.248,490.601,242.065,57.434
0.933,-1.872,0.735,501.770,238.464,54.199
1.120,-1.707,1.369,500.671,228.210,57.251
1.035,-1.507,2.069,490.295,208.557,69.458
0.787,-1.284,2.752,465.088,185.608,83.862
0.541,-1.001,3.184,417.786,162.903,88.867
0.474,-0.742,3.339,362.732,143.921,83.008
0.566,-0.494,3.498,328.796,125.793,74.341
0.554,-0.219,3.848,319.214,98.206,75.256
0.428,0.058,4.000,303.162,65.613,82.703
0.258,0.339,4.000,263.489,51.025,84.961
0.021,0.587,4.000,197.388,56.274,73.547
-0.204,0.755,4.000,116.394,85.144,43.030
0.547,0.255,4.000,89.233,118.713,3.296
-0.172,1.516,4.000,151.855,54.749,9.521
-0.603,1.117,4.000,83.679,2.502,54.504
-0.809,0.422,2.671,-108.643,25.391,67.322
-0.962,0.318,1.621,-187.622,36.438,31.372
-0.727,0.281,1.161,-151.245,47.180,-18.127
-0.203,0.198,0.912,-90.881,72.144,-43.701
0.041,0.151,0.791,-60.242,56.030,-31.860
-0.060,0.106,0.737,-48.096,9.155,-5.371
-0.201,0.052,0.684,-34.546,-31.006,11.536
-0.215,0.034,0.666,-21.179,-49.011,13.550
-0.148,0.066,0.682,-11.292,-42.847,3.113
-0.038,0.101,0.721,-6.653,-20.813,-10.132
0.089,0.137,0.721,-7.996,3.906,-21.301
0.225,0.154,0.689,-12.695,20.813,-27.954
0.344,0.170,0.667,-15.747,25.024,-29.175
0.424,0.194,0.674,-15.259,17.578,-26.306
0.480,0.220,0.678,-14.038,4.883,-21.179
0.500,0.242,0.681,-11.536,-5.920,-15.259
0.495,0.278,0.684,-8.606,-12.634,-10.010
0.454,0.303,0.677,-5.615,-15.625,-5.554
0.404,0.318,0.663,-2.991,-15.686,-2.563
0.366,0.327,0.648,-0.122,-14.160,-0.732
0.333,0.333,0.639,2.563,-11.841,0.366
0.302,0.337,0.646,5.066,-9.094,1.465
0.286,0.328,0.665,6.348,-5.981,2.563
0.288,0.347,0.719,7.080,-3.235,2.258
0.291,0.360,0.781,8.545,-1.892,2.258
0.300,0.374,0.841,8.179,-1.892,2.441
0.307,0.375,0.890,7.446,-2.869,3.662
0.310,0.394,0.934,6.653,-3.052,4.272
0.346,0.383,0.940,7.019,0.793,2.441
0.340,0.396,0.953,4.089,-3.845,1.831
0.306,0.409,0.966,-0.366,-8.606,3.967
0.292,0.405,0.947,-2.075,-7.080,5.371
0.289,0.391,0.923,-2.197,-1.770,5.493
0.282,0.385,0.897,-2.991,3.662,4.333
0.276,0.383,0.872,-4.272,8.972,2.808
0.274,0.380,0.857,-5.188,13.489,1.648
0.270,0.377,0.855,-4.639,17.212,0.977
0.268,0.372,0.859,-3.479,18.860,-0.183
0.269,0.370,0.869,-2.686,18.066,-1.892
0.271,0.373,0.876,-3.113,15.381,-3.418
0.282,0.368,0.872,-4.272,12.756,-4.883
0.296,0.358,0.855,-5.981,11.169,-6.104
0.311,0.346,0.836,-7.202,10.254,-6.592
0.322,0.338,0.817,-7.446,9.705,-6.226
0.320,0.333,0.795,-7.141,9.033,-5.371
0.317,0.330,0.774,-6.226,8.667,-4.822
0.319,0.329,0.755,-4.395,8.545,-4.578
0.324,0.328,0.742,-2.197,8.301,-4.150
0.328,0.326,0.735,0.977,8.240,-3.540
0.330,0.324,0.734,5.005,7.935,-2.747
0.324,0.324,0.735,8.301,7.568,-1.892
0.321,0.321,0.750,11.658,6.714,-0.854
0.326,0.330,0.775,14.832,4.639,-0.244
0.324,0.341,0.806,18.494,0.671,0.427
0.330,0.351,0.833,21.606,-4.395,1.587
0.331,0.356,0.857,23.254,-12.085,3.967
-0.546,-1.113,-0.971,55.420,-75.989,-57.739
-0.516,-1.136,-0.980,102.600,-66.406,-70.801
-0.498,-1.180,-0.924,148.254,-57.739,-78.247
-0.491,-1.253,-0.825,192.444,-48.462,-82.703
-0.482,-1.350,-0.720,233.826,-38.208,-87.097
-0.488,-1.462,-0.619,271.179,-28.137,-93.750
-0.504,-1.556,-0.517,306.946,-16.785,-106.323
-0.448,-1.585,-0.379,341.553,-5.920,-127.258
-0.351,-1.580,-0.227,372.803,4.089,-153.137
-0.242,-1.631,-0.066,401.367,23.010,-176.331
-0.039,-1.689,0.177,429.016,46.936,-195.740
0.206,-1.750,0.651,458.862,60.913,-209.473
0.372,-1.783,1.355,492.065,55.603,-209.656
0.386,-1.745,2.274,519.653,32.288,-195.557
0.166,-1.558,3.341,523.010,-5.737,-180.542
0.030,-1.288,4.000,490.295,-32.104,-177.429
0.092,-0.969,4.000,423.401,-37.109,-191.833
0.243,-0.627,4.000,339.905,-26.184,-218.628
0.451,-0.346,4.000,259.094,2.441,-246.033
0.613,-0.044,4.000,183.960,48.035,-266.052
0.695,0.215,4.000,114.136,96.619,-273.621
0.693,0.443,4.000,46.509,130.920,-273.437
0.596,0.758,4.000,-14.282,145.691,-276.367
1.114,0.861,4.000,-60.242,176.453,-273.987
1.289,1.051,3.771,-109.314,140.442,-254.395
1.169,1.045,3.513,-152.039,65.796,-225.342
1.193,0.954,3.290,-178.589,31.494,-204.895
1.318,0.889,3.160,-203.125,32.837,-193.176
1.445,0.822,3.015,-235.779,45.532,-181.152
1.551,0.747,2.829,-274.658,57.617,-166.077
1.663,0.652,2.567,-314.636,63.904,-149.597
1.700,0.547,2.213,-353.638,65.308,-133.301
1.718,0.403,1.773,-392.029,70.618,-118.469
1.756,0.229,1.300,-428.528,83.862,-102.539
1.786,0.043,0.823,-458.435,103.577,-83.618
1.814,-0.141,0.318,-479.675,126.953,-58.716
1.857,-0.298,-0.199,-488.525,144.958,-26.428
1.893,-0.368,-0.676,-482.971,145.752,11.475
1.820,-0.429,-1.037,-464.966,126.160,55.298
1.640,-0.523,-1.282,-434.814,95.581,97.290
1.430,-0.606,-1.456,-398.865,71.289,129.211
1.209,-0.672,-1.589,-361.450,62.195,149.719
1.001,-0.781,-1.680,-323.425,67.505,161.743
0.791,-0.940,-1.740,-287.903,82.947,168.518
0.601,-1.088,-1.825,-256.104,104.675,170.227
0.469,-1.190,-1.999,-222.595,126.160,165.955
0.367,-1.206,-2.205,-177.612,142.761,157.593
0.311,-1.168,-2.390,-116.211,155.518,146.851
0.289,-1.126,-2.455,-42.664,163.269,136.963
0.263,-1.145,-2.375,37.781,169.373,130.310
0.276,-1.216,-2.154,119.263,177.551,125.610
0.318,-1.348,-1.827,196.533,188.354,123.047
0.375,-1.506,-1.454,266.052,200.256,121.887
0.413,-1.659,-1.062,325.562,211.853,122.314
0.432,-1.794,-0.695,373.474,219.666,126.892
0.390,-1.923,-0.382,410.767,221.069,133.423
0.274,-2.018,-0.086,441.467,216.614,136.719
0.216,-2.060,0.269,467.529,208.862,130.249
0.230,-2.010,0.701,485.535,198.669,114.807
0.269,-1.871,1.136,491.028,191.772,95.276
0.331,-1.667,1.466,481.262,192.749,79.468
0.469,-1.496,1.779,463.928,189.941,76.599
0.485,-1.313,2.369,453.186,159.424,90.210
0.052,-1.061,3.185,442.078,91.309,114.685
-0.470,-0.810,3.882,405.701,17.212,132.996
-0.698,-0.562,4.000,343.689,-22.827,127.625
-0.621,-0.338,4.000,273.071,-28.442,98.022
-0.380,-0.177,3.990,211.060,-4.822,60.120
-0.014,0.003,3.689,158.081,37.659,27.832
0.256,0.158,3.439,123.108,87.952,16.052
0.169,0.267,3.367,101.379,116.699,30.212
-0.100,0.369,3.370,82.275,120.728,48.584
-0.374,0.401,3.331,60.547,115.112,56.580
-0.663,0.516,3.137,31.433,104.736,53.467
