aX,aY,aZ,gX,gY,gZ
0.877,-0.028,0.366,34.607,-41.565,17.639
-1.041,0.468,-1.905,2.258,-112.915,-123.230
-1.219,0.334,-2.121,-6.165,-176.392,-130.432
-1.368,0.145,-2.084,-5.310,-257.385,-138.123
-1.500,-0.022,-1.742,9.216,-334.229,-145.020
-1.604,-0.143,-1.240,41.321,-396.301,-152.039
-1.664,-0.260,-0.658,84.534,-440.247,-160.095
-1.711,-0.408,0.106,128.052,-465.088,-170.715
-1.752,-0.552,0.972,157.288,-467.468,-178.040
-1.702,-0.693,1.835,164.978,-445.312,-181.030
-1.552,-0.791,2.557,147.278,-413.147,-180.664
-1.421,-1.030,3.268,104.248,-377.747,-176.331
-1.170,-1.449,3.991,42.725,-339.905,-164.551
-0.770,-1.612,4.000,-30.579,-295.593,-136.719
-0.363,-1.509,4.000,-89.661,-245.850,-95.215
-0.252,-1.278,4.000,-101.990,-206.848,-57.861
-0.225,-0.949,4.000,-59.509,-152.222,-51.758
-0.015,-0.771,4.000,16.846,-83.618,-72.327
0.179,-0.703,3.997,92.163,-23.437,-91.858
0.298,-0.570,3.493,140.503,22.949,-97.290
0.351,-0.293,2.983,155.823,53.833,-90.942
0.292,-0.065,2.613,148.437,66.223,-80.811
0.169,0.011,2.379,127.014,67.993,-71.899
0.133,0.026,2.262,95.276,73.303,-64.453
0.089,0.028,2.247,58.472,76.233,-55.969
0.046,0.071,2.283,23.254,80.688,-46.875
-0.016,0.167,2.372,-7.324,94.055,-38.330
-0.115,0.389,2.448,-33.142,112.976,-31.677
-0.225,0.586,2.519,-51.086,131.897,-28.564
-0.266,0.745,2.571,-63.171,148.132,-31.799
-0.308,0.873,2.565,-71.228,162.964,-41.687
-0.366,0.969,2.493,-76.294,177.185,-57.007
-0.404,0.995,2.386,-81.299,199.280,-73.425
-0.445,0.985,2.297,-90.515,218.323,-87.341
-0.495,0.966,2.234,-104.858,223.938,-100.952
-0.578,0.911,2.150,-120.850,228.760,-114.563
-0.660,0.836,2.017,-135.254,240.112,-128.235
-0.745,0.699,1.876,-146.240,252.563,-143.860
-0.777,0.501,1.714,-153.137,267.578,-161.377
-0.813,0.314,1.522,-156.433,284.119,-177.490
-0.832,0.125,1.319,-157.104,301.331,-189.819
-0.821,-0.096,1.092,-155.029,317.200,-196.655
-0.809,-0.333,0.793,-151.550,332.153,-198.547
-0.765,-0.495,0.453,-147.461,343.201,-196.594
-0.767,-0.603,0.141,-143.921,341.370,-189.819
-0.728,-0.741,-0.122,-139.587,330.383,-182.434
-0.615,-1.000,-0.331,-129.639,311.462,-176.575
-0.464,-1.173,-0.499,-118.774,283.691,-171.997
-0.286,-1.342,-0.618,-108.948,252.380,-162.231
-0.135,-1.465,-0.722,-100.525,223.022,-146.790
0.008,-1.528,-0.813,-92.590,194.031,-128.723
0.131,-1.530,-0.848,-81.482,162.659,-109.924
0.251,-1.488,-0.860,-66.650,132.507,-90.332
0.330,-1.405,-0.857,-48.828,109.009,-73.181
0.383,-1.314,-0.836,-30.457,89.294,-58.594
0.432,-1.233,-0.816,-14.099,70.313,-45.288
0.491,-1.138,-0.771,-5.676,50.903,-30.884
0.522,-1.011,-0.691,-6.470,31.128,-14.648
0.554,-0.877,-0.565,-13.489,12.573,1.343
0.606,-0.729,-0.404,-22.949,-3.906,16.479
0.623,-0.575,-0.249,-30.762,-15.381,29.541
0.633,-0.435,-0.126,-31.189,-22.217,38.635
0.638,-0.292,-0.009,-25.818,-28.320,44.373
0.647,-0.159,0.102,-17.639,-34.119,46.997
0.662,-0.045,0.213,-9.338,-38.513,47.729
0.692,0.048,0.329,-1.648,-42.053,46.997
0.709,0.125,0.437,5.066,-43.091,44.861
0.729,0.180,0.511,11.597,-39.917,41.321
0.751,0.207,0.546,17.456,-34.668,36.865
0.764,0.224,0.547,20.508,-29.663,33.081
0.773,0.233,0.534,20.081,-25.757,29.907
0.792,0.227,0.522,18.066,-23.926,27.100
0.813,0.209,0.522,15.198,-24.048,24.597
0.833,0.198,0.532,13.000,-24.536,23.132
0.850,0.199,0.547,12.268,-24.902,22.339
0.847,0.201,0.571,11.047,-23.315,22.339
0.855,0.189,0.591,11.475,-22.034,21.057
0.874,0.173,0.618,13.916,-19.592,18.433
0.884,0.172,0.625,17.456,-15.076,15.808
0.884,0.168,0.604,22.339,-8.484,13.611
0.877,0.157,0.565,26.978,-2.625,11.292
0.871,0.153,0.530,29.297,0.793,9.460
0.856,0.137,0.501,29.968,3.113,7.935
0.843,0.102,0.468,30.334,5.615,7.507
0.844,0.071,0.437,29.907,6.042,7.874
0.847,0.068,0.421,29.602,4.333,8.972
0.841,0.076,0.416,27.954,1.770,10.803
0.839,0.084,0.422,25.452,-0.854,12.817
0.850,0.087,0.436,24.414,-2.808,14.282
0.859,0.093,0.461,24.475,-3.723,15.503
0.870,0.100,0.493,25.452,-3.052,16.663
0.872,0.114,0.510,28.076,-1.770,17.151
0.872,0.125,0.531,31.128,-0.244,16.907
0.867,0.133,0.531,33.936,2.014,16.357
0.859,0.137,0.513,36.072,4.761,15.503
0.849,0.140,0.492,36.438,6.409,15.137
0.833,0.142,0.472,33.752,5.737,15.869
0.826,0.145,0.463,29.419,2.930,17.578
0.820,0.151,0.469,22.888,-0.916,19.592
0.817,0.164,0.498,16.052,-4.578,22.278
0.817,0.173,0.517,11.230,-6.592,23.865
0.814,0.201,0.541,9.827,-7.385,23.560
0.813,0.219,0.562,10.559,-7.263,21.484
0.826,0.207,0.570,14.099,-5.615,17.944
0.841,0.184,0.562,18.738,-3.174,14.526
0.832,0.171,0.539,22.949,-0.366,13.123
0.811,0.168,0.502,26.611,1.465,11.841
0.804,0.174,0.479,29.846,1.953,9.949
0.796,0.177,0.474,30.640,0.854,9.399
0.788,0.177,0.476,30.579,-1.221,9.460
0.786,0.175,0.484,29.846,-2.991,9.521
0.787,0.172,0.498,29.236,-4.150,9.399
0.785,0.171,0.509,29.358,-4.578,8.972
0.782,0.158,0.509,31.555,-4.517,7.812
0.786,0.143,0.517,33.081,-4.333,5.981
0.779,0.139,0.519,37.170,-4.456,3.845
0.778,0.141,0.522,42.786,-3.540,0.305
0.781,0.131,0.523,49.133,-0.916,-3.418
0.787,0.129,0.527,53.040,1.953,-5.859
0.788,0.116,0.532,53.467,3.357,-7.812
-1.068,0.354,-1.599,21.362,-136.597,-123.291
-1.182,0.258,-1.756,37.476,-202.820,-141.052
-1.308,0.161,-1.731,52.917,-274.902,-153.564
-1.452,0.110,-1.429,65.125,-344.666,-161.926
-1.555,0.100,-0.947,71.716,-408.997,-166.321
-1.694,0.023,-0.389,79.346,-458.374,-169.739
-1.771,-0.230,0.356,94.055,-488.342,-179.138
-1.750,-0.524,1.279,107.849,-502.197,-191.040
-1.631,-0.812,2.243,117.554,-493.713,-202.332
-1.573,-1.050,3.086,112.488,-459.351,-203.735
-1.198,-1.266,3.830,92.468,-401.245,-200.317
-1.043,-1.661,4.000,60.913,-359.314,-179.687
-1.018,-1.868,4.000,24.963,-314.087,-146.729
-0.806,-1.849,4.000,4.944,-239.380,-116.455
-0.494,-1.755,4.000,10.132,-172.607,-95.276
